Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","ha","26820","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","ha","26206","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01323","Oranges","2020","2020","ha","23412","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01323","Oranges","2021","2021","ha","47488","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01323","Oranges","2022","2022","ha","47284","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01323","Oranges","2023","2023","ha","46467","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2020","2020","ha","37787","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2021","2021","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01329","Other citrus fruit, n.e.c.","2023","2023","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01359.90","Other fruits, n.e.c.","2020","2020","ha","80859","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01359.90","Other fruits, n.e.c.","2021","2021","ha","88749","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01359.90","Other fruits, n.e.c.","2022","2022","ha","90436","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01359.90","Other fruits, n.e.c.","2023","2023","ha","92794","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2020","2020","ha","383","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","ha","389","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2022","2022","ha","483","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2023","2023","ha","463","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01709.90","Other pulses n.e.c.","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01709.90","Other pulses n.e.c.","2021","2021","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01709.90","Other pulses n.e.c.","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01709.90","Other pulses n.e.c.","2023","2023","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2020","2020","ha","4561","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2021","2021","ha","3550","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2022","2022","ha","3590","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","ha","3636","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01809","Other sugar crops n.e.c.","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01809","Other sugar crops n.e.c.","2021","2021","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01809","Other sugar crops n.e.c.","2022","2022","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01809","Other sugar crops n.e.c.","2023","2023","ha","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2020","2020","ha","58205","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2021","2021","ha","58212","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2022","2022","ha","58137","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01319","Other tropical fruits, n.e.c.","2023","2023","ha","58185","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2020","2020","ha","16680","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2021","2021","ha","16936","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2022","2022","ha","16130","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01290.90","Other vegetables, fresh n.e.c.","2023","2023","ha","16212","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01317","Papayas","2020","2020","ha","7300","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01317","Papayas","2021","2021","ha","6948","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01317","Papayas","2022","2022","ha","7594","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01317","Papayas","2023","2023","ha","8085","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01345","Peaches and nectarines","2020","2020","ha","2124","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01345","Peaches and nectarines","2021","2021","ha","2144","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01345","Peaches and nectarines","2022","2022","ha","2265","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01345","Peaches and nectarines","2023","2023","ha","2016","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01342.01","Pears","2020","2020","ha","1615","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01342.01","Pears","2021","2021","ha","1618","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01342.01","Pears","2022","2022","ha","1602","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01342.01","Pears","2023","2023","ha","1711","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01705","Peas, dry","2020","2020","ha","30603","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01705","Peas, dry","2021","2021","ha","27080","A","Official figure",""
